net,length_um
_0994_,14.68µm
_0652_,14.65µm
_0169_,14.6µm
_1047_,14.54µm
lf_inst.integrator\[9\],14.52µm
_0257_,14.48µm
_0704_,14.48µm
net42,14.48µm
_0263_,14.42µm
_0353_,14.42µm
lf_inst.integrator\[14\],14.4µm
_0895_,14.39µm
_0295_,14.34µm
_0764_,14.34µm
_0955_,14.34µm
_0365_,14.3µm
_1049_,14.3µm
unlock_timer\[2\],14.28µm
_0666_,14.24µm
_0954_,14.24µm
_0874_,14.2µm
_0510_,14.18µm
lf_inst.zero_error_count\[4\],14.18µm
net219,14.1µm
net289,14.08µm
_0809_,14.04µm
_0743_,14µm
net147,13.98µm
_0430_,13.94µm
_0280_,13.92µm
_0594_,13.88µm
_0558_,13.86µm
_0237_,13.84µm
_0447_,13.84µm
_1032_,13.84µm
net10,13.84µm
_0730_,13.78µm
_0222_,13.74µm
_0547_,13.7µm
lf_inst.integrator\[20\],13.7µm
net51,13.64µm
_0196_,13.62µm
_0537_,13.6µm
unlock_timer\[4\],13.6µm
_0727_,13.56µm
_0992_,13.54µm
_0491_,13.52µm
_0578_,13.52µm
_0514_,13.5µm
_0219_,13.44µm
_0921_,13.42µm
_0300_,13.4µm
net66,13.4µm
_0326_,13.38µm
_0755_,13.38µm
_0470_,13.36µm
_0592_,13.26µm
_0224_,13.22µm
_0695_,13.22µm
_0907_,13.2µm
_0454_,13.18µm
net15,13.16µm
_0855_,13.12µm
_0374_,13.1µm
_0423_,13.04µm
_0749_,13.04µm
net54,13.04µm
net179,13.015µm
_0441_,13µm
_0449_,12.84µm
_0782_,12.84µm
_0811_,12.765µm
_0401_,12.76µm
_0389_,12.74µm
div_inst.counter\[7\],12.72µm
_1013_,12.68µm
dco_inst.accumulator\[19\],12.68µm
_0075_,12.665µm
_0852_,12.62µm
_1035_,12.62µm
_0516_,12.6µm
_0654_,12.6µm
net5,12.58µm
net50,12.58µm
_0287_,12.54µm
lf_inst.sample_en,12.54µm
_0419_,12.525µm
_0714_,12.5µm
_0480_,12.44µm
_0976_,12.42µm
_0460_,12.4µm
_0049_,12.385µm
_0640_,12.38µm
net60,12.35µm
_0333_,12.34µm
_0200_,12.325µm
_0238_,12.28µm
_0917_,12.28µm
_0531_,12.26µm
_0645_,12.26µm
_0422_,12.23µm
_0251_,12.2µm
lf_inst.error_in\[1\],12.2µm
net62,12.16µm
_0063_,12.145µm
_0786_,12.12µm
_0468_,12.04µm
_0744_,12.04µm
_0494_,12.02µm
