Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_56_425,VDD,Metal1,246.2200,238.6875,4.999970
FILLER_56_395,VDD,Metal1,228.2000,239.1200,4.999970
FILLER_56_387,VDD,Metal1,226.1865,238.5430,4.999970
FILLER_56_384,VDD,Metal1,222.0400,239.1200,4.999970
FILLER_56_382,VDD,Metal1,221.2000,239.1200,4.999970
FILLER_56_378,VDD,Metal1,219.9000,238.6875,4.999970
FILLER_56_365,VDD,Metal1,211.4000,239.1200,4.999972
FILLER_56_349,VDD,Metal1,207.2480,238.4280,4.999972
FILLER_56_317,VDD,Metal1,193.8755,238.3510,4.999974
FILLER_56_314,VDD,Metal1,182.8400,239.1200,4.999974
FILLER_56_312,VDD,Metal1,182.0000,239.1200,4.999974
FILLER_56_304,VDD,Metal1,179.7065,238.5430,4.999974
FILLER_56_298,VDD,Metal1,174.1600,239.1200,4.999974
FILLER_56_283,VDD,Metal1,166.7000,238.6875,4.999975
FILLER_56_267,VDD,Metal1,161.3280,238.4280,4.999975
FILLER_56_247,VDD,Metal1,145.6000,239.1200,4.999979
FILLER_56_239,VDD,Metal1,140.8400,239.1200,4.999981
FILLER_56_237,VDD,Metal1,140.0000,239.1200,4.999981
FILLER_56_233,VDD,Metal1,138.7000,238.6875,4.999981
FILLER_56_222,VDD,Metal1,131.3200,239.1200,4.999985
FILLER_56_214,VDD,Metal1,129.3065,238.5430,4.999985
FILLER_56_198,VDD,Metal1,122.6880,238.4280,4.999985
FILLER_56_181,VDD,Metal1,108.6400,239.1200,4.999990
FILLER_56_177,VDD,Metal1,107.3400,238.6875,4.999991
FILLER_56_159,VDD,Metal1,100.8480,238.4280,4.999991
FILLER_56_127,VDD,Metal1,87.4755,238.3510,4.999991
FILLER_56_101,VDD,Metal1,64.7800,238.6875,4.999994
FILLER_56_93,VDD,Metal1,61.5465,238.5430,4.999994
FILLER_56_88,VDD,Metal1,56.2800,239.1200,4.999994
FILLER_56_86,VDD,Metal1,55.4400,239.1200,4.999994
FILLER_56_78,VDD,Metal1,51.9000,238.6875,4.999994
FILLER_56_62,VDD,Metal1,46.5280,238.4280,4.999994
FILLER_56_47,VDD,Metal1,33.3200,239.1200,4.999991
