Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_51_21,VGND,li1,17.9400,152.3200,0.000009
FILLER_51_15,VGND,li1,13.1100,152.3200,0.000007
FILLER_51_7,VGND,li1,10.5800,152.3200,0.000008
FILLER_50_357,VGND,li1,169.9700,146.8800,0.000004
FILLER_50_341,VGND,li1,162.6100,146.8800,0.000004
FILLER_50_325,VGND,li1,155.7100,146.8800,0.000005
FILLER_50_297,VGND,li1,142.3700,146.8800,0.000005
FILLER_50_285,VGND,li1,139.3800,146.8800,0.000004
FILLER_50_275,VGND,li1,132.2500,146.8800,0.000004
FILLER_50_269,VGND,li1,130.6400,146.8800,0.000005
FILLER_50_249,VGND,li1,120.7500,146.8800,0.000007
FILLER_50_241,VGND,li1,118.2200,146.8800,0.000007
FILLER_50_229,VGND,li1,113.6200,146.8800,0.000008
FILLER_50_217,VGND,li1,108.1000,146.8800,0.000009
FILLER_50_209,VGND,li1,101.8900,146.8800,0.000013
FILLER_50_203,VGND,li1,100.2800,146.8800,0.000013
FILLER_50_197,VGND,li1,96.8300,146.8800,0.000019
FILLER_50_195,VGND,li1,95.4500,146.8800,0.000019
FILLER_50_189,VGND,li1,93.8400,146.8800,0.000022
FILLER_50_176,VGND,li1,86.9400,146.8800,0.000027
FILLER_50_164,VGND,li1,83.7200,146.8800,0.000030
FILLER_50_146,VGND,li1,74.5200,146.8800,0.000024
FILLER_50_141,VGND,li1,70.8400,146.8800,0.000022
FILLER_50_130,VGND,li1,65.5500,146.8800,0.000021
FILLER_50_126,VGND,li1,64.4000,146.8800,0.000021
FILLER_50_114,VGND,li1,60.7200,146.8800,0.000019
FILLER_50_105,VGND,li1,54.2800,146.8800,0.000016
FILLER_50_97,VGND,li1,51.9800,146.8800,0.000015
FILLER_50_85,VGND,li1,47.3800,146.8800,0.000012
FILLER_50_83,VGND,li1,43.9300,146.8800,0.000010
FILLER_50_77,VGND,li1,42.3200,146.8800,0.000012
FILLER_50_65,VGND,li1,38.1800,146.8800,0.000014
FILLER_50_53,VGND,li1,32.6600,146.8800,0.000016
FILLER_50_41,VGND,li1,27.1400,146.8800,0.000018
FILLER_50_29,VGND,li1,21.6200,146.8800,0.000020
FILLER_49_357,VGND,li1,169.9700,146.8800,0.000004
FILLER_49_345,VGND,li1,164.9100,146.8800,0.000004
FILLER_49_337,VGND,li1,162.3800,146.8800,0.000004
FILLER_49_335,VGND,li1,159.8500,146.8800,0.000005
FILLER_49_331,VGND,li1,158.7000,146.8800,0.000005
FILLER_49_323,VGND,li1,154.3300,146.8800,0.000005
FILLER_49_317,VGND,li1,152.7200,146.8800,0.000005
FILLER_49_301,VGND,li1,144.2100,146.8800,0.000005
FILLER_49_295,VGND,li1,142.6000,146.8800,0.000005
FILLER_49_266,VGND,li1,128.3400,146.8800,0.000006
FILLER_49_255,VGND,li1,123.0500,146.8800,0.000007
FILLER_49_249,VGND,li1,121.4400,146.8800,0.000007
FILLER_49_237,VGND,li1,117.3000,146.8800,0.000007
FILLER_49_225,VGND,li1,111.7800,146.8800,0.000008
FILLER_49_222,VGND,li1,108.1000,146.8800,0.000009
FILLER_49_210,VGND,li1,104.8800,146.8800,0.000009
FILLER_49_193,VGND,li1,96.1400,146.8800,0.000019
FILLER_49_185,VGND,li1,90.8500,146.8800,0.000023
FILLER_49_181,VGND,li1,89.7000,146.8800,0.000025
FILLER_49_143,VGND,li1,71.5300,146.8800,0.000023
FILLER_49_137,VGND,li1,69.9200,146.8800,0.000022
FILLER_49_125,VGND,li1,65.7800,146.8800,0.000021
FILLER_49_113,VGND,li1,60.2600,146.8800,0.000019
FILLER_49_100,VGND,li1,54.2800,146.8800,0.000016
FILLER_49_93,VGND,li1,48.5300,146.8800,0.000012
FILLER_49_87,VGND,li1,46.9200,146.8800,0.000012
FILLER_49_78,VGND,li1,41.8600,146.8800,0.000012
FILLER_49_52,VGND,li1,30.3600,146.8800,0.000017
FILLER_49_24,VGND,li1,17.4800,146.8800,0.000017
FILLER_49_10,VGND,li1,11.5000,146.8800,0.000018
FILLER_48_359,VGND,li1,171.3500,141.4400,0.000004
FILLER_48_351,VGND,li1,168.8200,141.4400,0.000004
FILLER_48_339,VGND,li1,164.2200,141.4400,0.000003
FILLER_48_335,VGND,li1,159.8500,141.4400,0.000004
FILLER_48_329,VGND,li1,158.2400,141.4400,0.000004
FILLER_48_317,VGND,li1,151.5700,141.4400,0.000005
FILLER_48_309,VGND,li1,149.5000,141.4400,0.000005
FILLER_48_307,VGND,li1,146.9700,141.4400,0.000005
FILLER_48_301,VGND,li1,145.3600,141.4400,0.000005
FILLER_48_291,VGND,li1,140.0700,141.4400,0.000006
FILLER_48_283,VGND,li1,137.5400,141.4400,0.000006
FILLER_48_277,VGND,li1,133.1700,141.4400,0.000006
FILLER_48_265,VGND,li1,130.1800,141.4400,0.000008
FILLER_48_253,VGND,li1,124.6600,141.4400,0.000011
FILLER_48_249,VGND,li1,120.7500,141.4400,0.000014
FILLER_48_237,VGND,li1,117.3000,141.4400,0.000015
FILLER_48_228,VGND,li1,110.6300,141.4400,0.000016
FILLER_48_220,VGND,li1,108.5600,141.4400,0.000016
FILLER_48_204,VGND,li1,101.2000,141.4400,0.000018
FILLER_48_197,VGND,li1,96.6000,141.4400,0.000024
FILLER_48_195,VGND,li1,95.4500,141.4400,0.000024
FILLER_48_187,VGND,li1,93.3800,141.4400,0.000026
FILLER_48_163,VGND,li1,80.9600,141.4400,0.000032
FILLER_48_141,VGND,li1,71.3000,141.4400,0.000030
FILLER_48_139,VGND,li1,69.6900,141.4400,0.000031
FILLER_48_135,VGND,li1,68.5400,141.4400,0.000031
FILLER_48_116,VGND,li1,59.1100,141.4400,0.000032
FILLER_48_110,VGND,li1,56.8100,141.4400,0.000032
FILLER_48_102,VGND,li1,52.6700,141.4400,0.000031
FILLER_48_94,VGND,li1,48.9900,141.4400,0.000029
FILLER_48_90,VGND,li1,47.8400,141.4400,0.000029
FILLER_48_82,VGND,li1,43.7000,141.4400,0.000026
FILLER_48_70,VGND,li1,38.4100,141.4400,0.000031
FILLER_48_63,VGND,li1,34.9600,141.4400,0.000030
FILLER_48_56,VGND,li1,31.5100,141.4400,0.000027
FILLER_48_45,VGND,li1,27.6000,141.4400,0.000026
FILLER_48_29,VGND,li1,20.7000,141.4400,0.000020
FILLER_48_24,VGND,li1,17.4800,141.4400,0.000016
FILLER_48_9,VGND,li1,9.8900,141.4400,0.000013
FILLER_48_3,VGND,li1,7.5900,141.4400,0.000013
FILLER_47_344,VGND,li1,163.9900,141.4400,0.000003
FILLER_47_329,VGND,li1,157.7800,141.4400,0.000005
FILLER_47_315,VGND,li1,150.6500,141.4400,0.000005
FILLER_47_309,VGND,li1,149.0400,141.4400,0.000005
FILLER_47_297,VGND,li1,144.9000,141.4400,0.000005
FILLER_47_289,VGND,li1,139.1500,141.4400,0.000006
FILLER_47_281,VGND,li1,136.6200,141.4400,0.000006
